X,Y,NU,Gecon_ID,newid,NUtS_country,latitude,longitude,cellid,pop90,pop95,pop00,pop05,gdp_PPP90,gdp_PPP95,gdp_PPP00,gdp_PPP05,GCP_MER90,GCP_MER95,GCP_MER00,GCP_MER05
-6.5,55.5,UK,826,54993826,United Kingdom,55.5,-6.5,54993,100902.38967759539,103891.6445964876,108967.19555477846,113418.08531612533,1605.298477269557,1705.219569359041,2030.6449351283452,2257.2467736762765,1770.1914866938869,1904.275014314294,2206.7535896692507,2483.7558128469886
-5.5,55.5,UK,826,54994826,United Kingdom,55.5,-5.5,54994,29293.956638974985,28905.605352899,28926.797007685178,28586.16444009834,534.1674978928004,535.5927552053167,588.1703555018256,621.9752849476313,589.0361017763747,598.1141196782086,639.179711276633,684.3889411877809
-4.5,55.5,UK,826,54995826,United Kingdom,55.5,-4.5,54995,1944329.513391263,1903130.5747049865,1898487.5039576967,1873650.929311852,44219.7789199923,45008.62133601671,49717.00026313152,55422.47493162924,48761.945081264814,50262.61402285345,54028.73092203992,60983.980962616086
-3.5,55.5,UK,826,54996826,United Kingdom,55.5,-3.5,54996,1083839.6828174153,1096155.044777369,1130897.9666336128,1150471.8607724858,26361.14685102739,28480.918126892993,33085.93853425076,38831.17158056445,29068.91048358001,31805.581960427222,35955.33239956563,42727.78202970098
-2.5,55.5,UK,826,54997826,United Kingdom,55.5,-2.5,54997,241764.28277893792,242215.16776057592,245798.3668467827,246112.00894709892,4500.094787448134,4474.529325697642,4559.54389071725,5113.422592549264,4962.335412916854,4996.854685960111,4954.9725183535575,5626.541694908541
-1.5,55.5,UK,826,54998826,United Kingdom,55.5,-1.5,54998,545462.9099776833,541938.1846734033,544708.7110337962,539506.7357325195,10157.78373069628,10775.479639523826,12195.048973700326,14000.97732611739,11201.170709599364,12033.334013701526,13252.670436550045,15405.940203270937
-7.5,56.5,UK,826,55992826,United Kingdom,56.5,-7.5,55992,975.7697829506221,914.3729603365896,867.4672837911834,810.8320779468067,11.912208358148956,12.757263814392322,13.718633194002308,16.82727763711149,13.135806282695548,14.246457857561744,14.90838822805175,18.515852645342985
-6.5,56.5,UK,826,55993826,United Kingdom,56.5,-6.5,55993,3161.1153304422087,3128.6512243440593,3133.186087421435,3090.682643455954,55.478568218955516,55.80090780877528,61.07329382226949,64.83465883368675,61.17721442195721,62.31471678233631,66.36990447899244,71.34065385764308
-5.5,56.5,UK,826,55994826,United Kingdom,56.5,-5.5,55994,36585.79424490907,36214.07429394758,36300.7090625215,35895.445387921085,642.0921952179831,645.8943730553974,707.5876786994983,752.9951224001379,708.0466055015164,721.2915794520861,768.9535590214637,828.5562899535217
-4.5,56.5,UK,826,55995826,United Kingdom,56.5,-4.5,55995,74380.66932251689,74296.88807249263,75599.45989148726,76112.09686846413,1335.062540409297,1388.5060422684478,1544.9578362729476,1774.848683280853,1472.197461531392,1550.5905579714272,1678.9450445542718,1952.9502867969804
-3.5,56.5,UK,826,55996826,United Kingdom,56.5,-3.5,55996,679626.9408679161,678792.3819175938,689147.033494786,692866.0548027579,13682.248844085763,14210.931039588952,15942.146826636821,17921.305583544214,15087.661743642773,15869.816060699206,17324.73714538948,19719.663545887008
-2.5,56.5,UK,826,55997826,United Kingdom,56.5,-2.5,55997,288364.7202933031,289881.62895745697,297758.6485750615,301922.2714229212,6355.20733125354,6517.494479437572,7237.415402475096,8047.245486786231,7008.001361276154,7278.30134965517,7865.083719488359,8854.766341147284
-8.5,57.5,UK,826,56991826,United Kingdom,57.5,-8.5,56991,24.1598069762574,22.551402026786697,21.29516757739122,19.81433843429134,0.2949431921570403,0.31463549068012314,0.3367741910937185,0.41120890884559064,0.32523915969992007,0.35136384444842267,0.3659810941084338,0.45247268909649985
-7.5,57.5,UK,826,56992826,United Kingdom,57.5,-7.5,56992,6802.436288324236,6122.102868075682,5611.021468108355,5099.79433279862,83.04421783232476,85.41512574709068,88.73596365298819,105.83653195797703,91.57435175293537,95.38589207361535,96.43163259933243,116.45696187398401
-6.5,57.5,UK,826,56993826,United Kingdom,57.5,-6.5,56993,9808.037917028014,9805.55286570182,9929.189190413666,9915.628673291321,156.62624781782839,163.75006499869596,183.41820074295848,207.4000776708443,172.71457888100292,182.8651060382607,199.325232047333,228.21215407516365
-5.5,57.5,UK,826,56994826,United Kingdom,57.5,-5.5,56994,11609.797339440374,11589.877986755482,11706.93461531958,11660.354319350885,196.99646288014105,200.21296307750765,211.70653729371207,237.97419997106,217.23154069913053,223.58442864553598,230.06688813365503,261.8543126869036
-4.5,57.5,UK,826,56995826,United Kingdom,57.5,-4.5,56995,108167.6674356895,109231.42321841214,112915.69057377566,115040.9712170337,1910.7841779906814,1994.693337984066,2208.57365830061,2558.125451576395,2107.0560600927483,2227.5399326844436,2400.113266574482,2814.8269096854738
-3.5,57.5,UK,826,56996826,United Kingdom,57.5,-3.5,56996,90299.2917747821,92095.54478865473,95224.15110040117,97236.85818256077,2247.7414612289203,2390.1974420467327,2718.0298012433923,3124.467379819,2478.6249132460753,2669.212428683531,2953.752237509092,3437.999826681424
-2.5,57.5,UK,826,56997826,United Kingdom,57.5,-2.5,56997,383379.1986387683,387489.7223023941,398827.77542684384,406766.9639516388,11590.517520999425,12216.094755512597,13834.353282709444,15881.225351614039,12781.072014064015,13642.11649539218,15034.144196874127,17474.86639130816
-1.5,57.5,UK,826,56998826,United Kingdom,57.5,-1.5,56998,36080.20821771302,35712.11229659294,35871.22455519078,35609.7624708366,1096.943446254355,1132.2143721978382,1251.2975335015335,1398.1325003348775,1209.6192561316752,1264.381185019067,1359.816911381537,1538.4315819317117
-7.5,58.5,UK,826,57992826,United Kingdom,58.5,-7.5,57992,283.76570482597964,262.90067745094046,246.2055371356599,227.8624298118332,3.464214879213081,3.667970778564482,3.8936378551764363,4.7288513538090315,3.8200520177977877,4.096144116784181,4.23131546295641,5.203379699147148
-6.5,58.5,UK,826,57993826,United Kingdom,58.5,-6.5,57993,20357.188249038758,19323.45355137249,18599.47663290214,17684.68250979052,248.52078046044866,269.5993926474716,294.14296342341777,367.0119505754646,274.0483318627948,301.0705462909171,319.6526528009449,403.84067717216936
-5.5,58.5,UK,826,57994826,United Kingdom,58.5,-5.5,57994,1399.3768459643743,1367.0068356193306,1352.1074814567064,1317.2353870900542,22.805078509010713,22.61158230181003,22.377574604062474,25.563522842100458,25.147570001250166,25.25110078793727,24.31828047894803,28.12875809431536
-4.5,58.5,UK,826,57995826,United Kingdom,58.5,-4.5,57995,6944.35490573951,6816.552224336609,6770.551378080285,6628.2951300868635,113.16934339490635,112.75220256330508,112.05360568702746,128.63499995735737,124.7938692205968,125.9141086627992,121.77150830635087,141.5431988232756
-3.5,58.5,UK,826,57996826,United Kingdom,58.5,-3.5,57996,33822.12333037632,32728.744752400187,32073.253500037474,31015.04689348422,612.8332189095213,591.0982154759204,558.4471185982617,634.0740655823297,675.7822063857125,660.0989004364159,606.8787124171827,697.7018040436445
-2.5,58.5,UK,826,57997826,United Kingdom,58.5,-2.5,57997,8784.61370931782,8684.268850824652,8725.732085996711,8670.56950351619,208.75661708392508,197.3571089650699,175.4339943729932,205.23020988677087,230.19967413258053,220.39520203298537,190.6485915560364,225.8245455138612
-5.5,59.5,UK,826,58994826,United Kingdom,59.5,-5.5,58994,13.51946756716996,13.201896181363953,12.158447342287076,11.93161063813993,0.16504581035946603,0.1841918776490082,0.19228077232890786,0.24761788578259133,0.18199898184028576,0.20569315339166713,0.20895641439864754,0.27246571812603976
-3.5,59.5,UK,826,58996826,United Kingdom,59.5,-3.5,58996,3499.225906430402,3464.20394173369,3502.4114343081424,3522.4856412231534,83.15522876822877,78.72686653880346,70.41724657629527,83.37635344231973,91.69676550741761,87.91689211111422,76.52421601073397,91.7429609076699
-2.5,59.5,UK,826,58997826,United Kingdom,59.5,-2.5,58997,3102.514424007913,3013.0128024172263,2985.743021664558,2943.327049635834,73.72781969035151,68.47317905218245,60.029441575740485,69.66781454403971,81.30099205622489,76.46626062868353,65.23552364644841,76.65880459329915
-1.5,59.5,UK,826,58998826,United Kingdom,59.5,-1.5,58998,1958.907255996206,1880.2186877325012,1828.3299642058728,1752.2952995926682,42.89629194401822,44.622586157305655,41.46620922524596,55.62947247449174,47.30251220271101,49.83151578854093,45.06238607982157,61.21175018852684
-2.5,60.5,UK,826,59997826,United Kingdom,60.5,-2.5,59997,75.57174870306203,78.7325446954564,83.08495826774627,86.31738573783183,1.654875586970008,1.868532518041195,1.8843525678897965,2.740286203523463,1.8248610567266819,2.086651978124482,2.0477739468177667,3.01526703515046
-1.5,60.5,UK,826,59998826,United Kingdom,60.5,-1.5,59998,18942.20760080945,18715.399609723037,18791.328515123692,18681.147672958934,414.7978240528284,444.16616907494796,426.18409974311936,593.0635039119024,457.405016720868,496.01503124377524,463.1451199067671,652.5759356074043
-0.5,60.5,UK,826,59999826,United Kingdom,60.5,-0.5,59999,2056.3792405979266,1841.602600456674,1680.1082077194935,1521.2968532318778,45.03074047139984,43.70612378366459,38.1045652733747,48.29605001055825,49.656206961323036,48.80807198632147,41.40920194622367,53.14243721607214
